営業担当,リストグループ,主な病床機能,予算案策定時期,病院区分,法人名称等,病院名,病院名（カナ）,URL,創立日,創立日備考,診療科,病床数,病床の内訳,郵便番号,都道府県,住所1,電話番号,直通・内線など,FAX,E-mail,法人　郵便番号,法人　住所,法人　電話番号,出版DM用　肩書,出版DM用　宛名,WBDM用　肩書,WBDM用　宛名,役職,名前,フリガナ,出身（卒年）専門,秘書（所属　氏名）,秘書メールアドレス,役職２,名前２,フリガナ2,出身（卒年）専門２,メールアドレス２,役職3,名前3,フリガナ3,メールアドレス３,役職４,名前４,フリガナ４,メールアドレス４,事務長　役職名,事務長,フリガナ,メールアドレス,看護部長　役職名,看護部長,フリガナ,メールアドレス,出版実績,　売上実績,ESPS実績,　売上実績,トピックス,備考欄,
出塚 中島 片桐,,精神病院,,都道府県立,,三重県立こころの医療センター,,http://www.pref.mie.lg.jp/KOKOROHP/HP/index.htm,1950-03-01,開設,"",348,,514-0818,三重県,津市城山１丁目１２?１,059-235-2125,その他の方は3,,,,,,院長,森川　将行,,,院長　　,森川　将行,モリカワ　マサユキ,奈良県立医科大学（平成3年）精神医学,,,秘書,塩田,,,,,,,,,,,,運営調整部　部長,おかむら,,,看護部長,吉田博樹→木高　広美260401,,,,"",,"",,"",
出塚 片桐,内部留保が多い（2016年度）,,,都道府県立,,岩手県立胆沢病院,イワテケンリツイサワビョウイン,http://www.isawa-hp.com/index.php,1936-01-01,新病院開院は1997/3/1,"",346,,023-0864,岩手県,奥州市水沢区字龍ヶ馬場６１番地,0197-24-4121,,019-724-8194,,,,,病院長,鈴木 俊郎,,,病院長,勝又宇一郎→郷右近祐司→　鈴木 俊郎,ゴウコン,北海道大学　呼吸器内科,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",地域がん診療連携拠点病院,"",
出塚 片桐 大山,2018年DPC特定病院群 内部留保が多い（2016年度）,その他専門病院,,都道府県立,,千葉県がんセンター,チバケンガンセンター,http://www.pref.chiba.lg.jp/gan/,1972-01-01,創立,"",341,,260-8717,千葉県,千葉市中央区仁戸名町６６６－２,043-264-5431,,043-262-8680,chiken@chiba-cc.jp,,,,病院長,加藤　厚,,,病院長,山口武人→藤里正視→　加藤　厚,カトウ　アツシ,千葉大学（1989年）肝胆膵外科,,,,,,,,,,,,,,,,事務局長,内山　亜弥子（R４）→　不明,,,看護局長,鈴木美香→山田みつぎ,,,,"",,"",都道府県がん診療連携拠点病院 がん５年生存率BEST2021,"2020年春　新病院完成予定　初夏に開院予定
　　　　　450床に増床",
出塚 片桐,,,,都道府県立,,岩手県立久慈病院,イワテケンリツクジビョウイン,http://www.kuji-hp.com/index.php,1950-11-01,,"",334,一般267床、救命救急20床、回復期リハ43床、感染4床,028-0014,岩手県,久慈市旭町第10地割1番,0194-53-6131,,019-452-2601,,,,,,,,,院長,吉田→　遠野　千尋,トオノ　チヒロ,自治医科大学（平成３年）　外科,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",地域がん診療連携拠点病院,"",
出塚 片桐,,,,都道府県立,,群馬県立がんセンター,グンマケンリツガンセンター,http://www.gunma-cc.jp/,1955-11-01,,"",332,,373-0828,群馬県,太田市高林西町617-1,0276-38-0771,,,,,,,院長,柳田　康弘,,,院長,猿木 → 鹿沼→　柳田　康弘,ヤナギタ　ヤスヒロ,宮崎医科大学 (1987年)　乳腺科,,,,,,,,,,,,,,,,事務局長,長谷 康夫,はせ,,看護部長,堀越 真奈美,,,,"",,"",地域がん診療連携拠点病院 がん５年生存率BEST2021,"",
出塚 中島 片桐,,,,都道府県立,社会福祉法人　兵庫県社会福祉事業団,兵庫県立リハビリテーション中央病院,,http://www.hwc.or.jp/hospital/,1969-10-01,,"",330,,651-2181,兵庫県,神戸市西区曙町1070,078-927-2727,,,h_miura@hwc.or.jp,,,,病院長,大串　幹,,,病院長,井口→橋本 靖→　大串　幹,オオグシ ミキ,佐賀医科大学（1986年）→熊本大学　リハビリテーション、整形外科,,,,,,,,,,,,,,,,,,,,看護部長,岸 典子→柏木 史江,,,,"",,"",,"",
出塚 片桐,,,,都道府県立,,沖縄県立北部病院,オキナワケンリツホクブビョウイン,http://www.hosp.pref.okinawa.jp/hokubu/,1946-02-01,,"",327,,905-8512,沖縄県,名護市大中2-12-3,0980-52-2719,,098-054-2298,,,,,,,,,院長,久貝忠男→　佐々木 尚美,クガイ→　ササキ,名古屋大学（）小児科,,,,,,,,,,,,,,,,総務課,,,,看護部長,比屋根三和子　→　備瀬　珠美　→　田代　泉,　　　　　　　　　びせ,,,"",,"",,"2018/04/01　久貝先生院長就任
北部医師会病院との再編統合を計画中",
出塚 片桐,,,,都道府県立,,愛媛県立今治病院,エヒメケンリツイマバリビョウイン,http://www.eph.pref.ehime.jp/epimah/index.htm,1945-09-01,,"",320,,794-0006,愛媛県,今治市石井町４丁目5-5,0898-32-7111,,,,,,,院長,川上　秀生,,,院長,藤田→　川上　秀生,カワカミ　ヒデオ,愛媛大学（1989年）循環器内科,,,,,,,,,,,,,,,,事務局長,村田　純一郎　,,,看護部長,菅 美幸 →　松原 理香→岡本　奈美,,,,"",,"",,"",
出塚 片桐,,精神病院,,都道府県立,,愛知県精神医療センター,アイチケンセイシンイリョウセンター,https://apmc.pref.aichi.jp/,1932-12-06,,"",315,,464-0031,愛知県,名古屋市千種区徳川山町4-1-7,052-763-1511,,052-763-2519,,,,,院長,粉川　進,,,院長,粉川→　高木　宏,タカギ　ヒロシ,岐阜大学（平成２）　精神科,,,,,,,,,,,,,,,,事務長,小野田 敏明→不明（小林 滋宏？）,,,看護部長,鳴田 慶紀（なるた）→則竹 真生子（のりたけ）,,,,"",,"",,"",
出塚 中島 片桐,,,,都道府県立,,兵庫県立加古川医療センター,,https://kenkako.jp/about-us/outline/informations/,1936-06-01,,"",307,一般病棟207床、救命救急センター26床、緩和ケア病棟24床、感染症病棟8床、障害者病棟42床,675-8555,兵庫県,加古川市神野町神野２０３,079-497-7000,,,,,,,,,,,院長　,小川　恭弘→　田中　宏和,,神戸大学（1986年）泌尿器科,,,,,,,,秘書,中川,,,管理局長,門田　高弘,,,,,,,看護部長,淺田　弘子（あさだ）→中尾 美喜子→？20260401,,,,"",,"",,"",
出塚 片桐,内部留保が多い（2016年度）,,,都道府県立,,岩手県立磐井病院,イワイビョウイン,http://www.iwai-hp.com/index.php,1949-01-01,,"",305,,029-0192,岩手県,一関市狐禅寺字大平１７,0191-23-3452,,019-123-9691,,,,,病院長,阿部 隆之,,,病院長,加藤博孝→佐藤耕一郎→　阿部 隆之,アベ　タカユキ,東北大学（1992年）　消化器外科,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",地域医療支援病院 地域がん診療連携拠点病院,"",
出塚 片桐,,,,都道府県立,,鳥取県立厚生病院,トットリケンリツコウセイビョウイン,https://www.pref.tottori.lg.jp/kouseibyouin/,1930-06-01,,"",304,,682-0804,鳥取県,倉吉市東昭和町150番地,0858-22-8181,,0858-22-1350,kouseibyouin@pref.tottori.jp,,,,病院長,齊藤　博昭,,,病院長,皆川→花木啓一→　齊藤　博昭,ハナキ　ケイイチ,鳥取大学（）消化器外科,,,,,,,,,,,,,,,,事務局長,,,,看護局長,小椋 美保子（おぐら）,,,,"",,"",地域がん診療連携拠点病院,"",
出塚 中島 片桐,,,,都道府県立,,兵庫県立丹波医療センター,ヒョウゴケンリツタンバイリョウセンター,https://tmc.hyogo.jp/,1953-01-01,,"",303,一般303,669-3495,兵庫県,丹波市氷上町石生２００２番地７,0795-88-5200,,,,,,,,,,,院長,秋田→　西崎 朗,ニシザキ,神戸大学（昭和58）,,,,,,,,,,,,,,,,管理局長,細見 和正→粟飯原　弘尚20260401,,,,金谷 美恵子（かなたに）→井口 綾子20260401,,,,"",,"",地域がん診療連携拠点病院 病院病棟新築・移転,"柏原赤十字病院と統合新病院
2019年7月1日　県立丹波医療センター開設",
出塚 片桐,,,,都道府県立,,沖縄県立八重山病院,オキナワケンリツヤエヤマビョウイン,https://yaeyamaweb.hosp.pref.okinawa.jp/,1949-07-09,,"",302,一般258、結核6、精神38,907-0002,沖縄県,石垣市真栄里584-1,0980-87-5557,,,,,,,,,,,院長,篠﨑→和氣亨→　田仲　斉,ワケ→　タナカ　ヒトシ,自治医科大学（1991年）,,,,,,,,,,,,,,,,事務部長,宮良 安英　→　稲嶺,みやら,,看護部長,名嘉 律子　→　砂川 綾子（2025年度より副院長）　→　上江洲 美智子,               　　　        （すながわ）/　　　　　　　　　　　うえず,,,"",,"",,"2018年10月　新病院移転",
中島,,回復期,2025/2/26新潟日報：2027年秋に新病院開業　現地建て替え、基本設計に着手し改築本格化へ,都道府県立,,新潟県立吉田病院,ニイガタケンリツヨシダビョウイン,https://yoshida-hp.jp/,1955-05-01,,"",302,,959-0242,新潟県,燕市吉田大保町32番14号,0256-92-5111,,0256-92-2610,iji@yoshida-hosp.jp,,,,院長,中村 厚夫,,,院長,須田武保→　中村 厚夫,スダ　タケヤス,新潟大学（昭和56）　消化器外科,,,,,,,,,,,,,,,,事務長,小野 敏則→不明,,,,部長：本間 圭子　副部長：スダ？,,,,"",,"",病院病棟新築・移転,"2024/3/1　県央基幹病院に統合",
Well-being,,,,都道府県立,,和歌山県立こころの医療センター,,https://www.pref.wakayama.lg.jp/prefg/050112/050112.html,,,"",300,,643-0811,和歌山県,有田郡有田川町庄31,0737-52-3221,,073-752-5571,e0501121@pref.wakayama.lg.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,事務局長,もりぶち？,,,,中澤 範子⇒岸　／副看護部長：赤松,,,,"",,"",,"",
出塚 片桐 大山,,精神病院,,都道府県立,福岡県立精神医療センター,太宰府病院,,http://www.dazaifu-hsp.jp/,1931-11-01,,"",300,,818-0125,福岡県,太宰府市五条3丁目8番1号,092-922-3137,,,,,,,,,,,院長　　,小嶋 享二,,,,,,,,,,,,,,,,,,事務部長,江浦 三弘,えうら,,看護部長,皆越 美香（みなごし）⇒不明,,,,"",,"",,"",
出塚 中島,,,,都道府県立,,兵庫県立こども病院,ひょうごけんりつこどもびょういん,http://www.hyogo-kodomo-hosp.com/index.php,1970-04-01,,"",290,,650-0047,兵庫県,神戸市中央区港島南町1丁目６－７,078-945-7300,,078-302-1023,,,,,院長,飯島　一誠,,,院長,長嶋達也→中尾秀人→飯島　一誠,ナカオ　ヒデト,神戸大学（昭和53）　小児科　総合周産期医療センター長,,,秘書,藤川さん→みなかみさん,,,,,,,,,,,,管理局長,髙﨑 徳子,,たかさき,看護部長,大西 美樹→奥　由香,,,,"",,"",病院病棟新築・移転 TOP交代,"平成28年5月1日　現在地に新築移転
平成29年4月1日　管理者　中尾先生",
渡辺,,,,都道府県立,,岩手県立釜石病院,イワテケンリツカマイシビョウイン,http://www.kamaishi-hp.com/,,,"",272,,026-8550,岩手県,釜石市甲子町第１０地割483番地6,0193-25-2011,,019-323-9479,,,,,,,,,病院長,坂下　伸夫,サカシタ　ノブオ,自治医科大学,,,,,,,,,,,,,,,,事務局長,,,,総看護部長,村上 恵理子,,,,"",,"",地域がん診療連携拠点病院,"2019年4月　坂下先生院長就任",
中島,,,,都道府県立,,高知県立あき総合病院,コウチケンリツアキソウゴウビョウイン,http://www.pref.kochi.lg.jp/aki/,,,"",270,,784-0027,高知県,安芸市宝永町3番33号,0887-34-3111,,0887-34-2687,,,,,病院長,前田　博教,,,病院長,前田　博教,マエダ　ヒロノリ,宮崎医科大学（平成元年）　消化器外科,,,,,,,,,,,,,,,,経営事業部長,山本 博,hiromu_yamamoto@ken3.pref.kochi.lg.jp,,看護部長,中屋 美智,,,,"",,"",,"高知県地域がん診療病院",
中島,,,,都道府県立,,愛知県医療療育総合センター中央病院,,https://www.pref.aichi.jp/addc/eachfacility/tyuuou/index.html,,,"",267,,480-0304,愛知,春日井市神屋町713-8,0568-88-0811,,056-888-0828,,,,,,,,,病院長,新美　教弘,,,,,,,,,,,,,,看護副部長,宮田里美,,,運用部長,おがた,,,看護部長,松井 美和子→佐藤 佳子→岩田 直子,,,,"",,"",,"",
出塚,,精神病院,,都道府県立,,岩手県立一戸病院,,http://www.ichinohe-hp.com/,1931-01-01,,"",266,,028-5312,岩手県,二戸郡一戸町一戸砂森60-1,0195-33-3101,,019-532-2171,,,,,院長,小井田　潤一,,,院長　　,小井田　潤一,コイダ,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"",
出塚,,,,都道府県立,,沖縄県立精和病院,,http://www.hosp.pref.okinawa.jp/seiwa/index.html,1961-05-06,,"",250,,901-1105,沖縄県,島尻郡南風原町新川260,098-889-1390,,,,,,,院長,親富祖 勝己,,,院長　　,親富祖 勝己,おやふそ,,,,医局秘書,,,,,,,,,,,,,事務部長,翁長 道代→　,おなが？おきなが？,,看護部長,古堅 敦子→かねく,ふるげん？,,,"",,"",,"",
渡辺,,,,都道府県立,,岩手県立二戸病院,イワテケンリツニノヘビョウイン,http://www.ninohe-hp.net/,1929-04-01,,"",235,一般225、結核10,028-6193,岩手県,二戸市堀野字大川原毛３８番地2,0195-23-2191,,019-523-2834,,,,,,,,,病院長,佐藤 昌之,サトウ　マサユキ,岩手医科大学（昭和55）　産婦人科,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",地域がん診療連携拠点病院,"",
中島,,精神病院,,都道府県立,青森県病院局,青森県立つくしが丘病院,,https://aomori-tsukushigaoka.jp/,,,"精神科／歯科（入院患者のみ）",230,,038-0031,青森県,青森市三内字沢部353番地92,017-787-2121,,017-788-5086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,看護部長,山口佳代子,,,,"",,"",,"",
出塚 中島,,精神病院,,都道府県立,,島根県立こころの医療センター,,https://www.kokoronoiryo.jp/,1969-08-25,,"",224,,693-0032,島根県,出雲市下古志町1574-4,0853-30-0556,,,,,,,院長,小林孝文,,,院長　　,小林孝文,,,,,秘書,長岡,,,,,,,,,,,,総務企画課長,石原誠也,,,看護局長,多久和 かおり,,takuwa-kaori@pref.shimane.lg.jp,,"",,"",,"",
Well-being 大山,,ハートセンター,,都道府県立,,千葉県循環器病センター,チバケンジュンカンキビョウセンター,http://www.pref.chiba.lg.jp/junkan/,1998-02-01,,"",220,一般220,290-0512,千葉県,市原市鶴舞575,0436-88-3111,,0436-88-3032,junkan@mz.pref.chiba.lg.jp,,,,病院長,村山博和,,,病院長,小野→　村山　博和,ムラヤマ　ヒロカズ,千葉大学（昭和55）　心臓血管外科,,,,,,,,,,,,,,,,,事務局長,,,看護局長,渡辺　,,,,"",,"",,"2016年　ＶＨＪ退会
2016年4月　村山先生院長就任",
渡辺,,,,都道府県立,,徳島県立三好病院,トクシマケンリツミヨシビョウイン,http://www.miyoshi-hosp.jp/,1956-02-01,開院式,"",220,一般：206床（うち集中治療室（ICU）4床、高度治療室（HCU）6床、緩和ケア病床20床、結核8床、第2種感染症病床6床,778-8503,徳島県,三好市池田町シマ８１５番地２,0883-72-1131,,0883-72-6910,,,,,院長,住友　正幸,,,院長　　,住友　正幸,スミトモ　マサユキ,徳島大学（昭和56）,,,,,,,,,,,,,,,,,,,,,岸本 小百合,,,,"",,"",,"地域がん診療病院",
出塚,内部留保が多い（2016年度）,その他専門病院,,都道府県立,コドモックル,北海道立子ども総合医療・療育センター,ホッカイドウリツコドモソウゴウイリョウ・リョウイクセンター,https://kodomo.hospital.pref.hokkaido.lg.jp/,2007-09-01,,"",215,,006-0041,北海道,札幌市手稲区金山一条1丁目240番6,011-691-5696,,,,,,,,,,,センター長,續　晶子→髙室 基樹,ツヅキ　アキコ,岩手医科大学　小児科,,,,,,,,,,,,,,,,事務長,,,,看護部長,菅原 弘光→能登 明美,,,,"",,"",,"",
出塚 中島,,精神病院,山形県立鶴岡病院がH27.3.9	「山形県立こころの医療センター」開院により閉鎖,都道府県立,,山形県立こころの医療センター,,http://cocorohosp-yamagata.jp/,1952-03-01,,"",213,,997-0019,山形県,鶴岡市茅原字草見鶴51-1,0235-64-8100,,023-524-1283,,,,,院長,神田　秀人,,,院長,神田　秀人,,,,,,,,,,,,,,,,,,事務局長,,,,看護部長,齊藤 由美⇒小林 純子,,,,"",,"",,"",
Well-being,,,,都道府県立,,愛媛県立新居浜病院,,,,,"",208,,792-0042,愛媛県,新居浜市本郷３丁目１?１,0897-43-6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,事務局長,宮﨑,,,看護部長,青野 洋子?→岡本 奈美   ,,,,"",,"",,"",
中島,,急性期,,都道府県立,県民健康プラザ,鹿屋医療センター,カノヤイリョウセンター,http://hospital.pref.kagoshima.jp/kanoya/,1949-12-01,,"",186,,893-0013,鹿児島県,鹿屋市札元1丁目8-8,0994-42-5101,,099-444-3944,,,,,,,,,院長,日高→　原口　優清,ヒダカ　シロウ,鹿児島大学　血液内科学,,,,,,,,,,,,,,,,,,,,総看護師長→看護部長,鶴田 恵→西　里香,,,,"",,"",地域医療支援病院,"",
中島,,,,都道府県立,,新潟県立加茂病院,ニイガタケンリツカモビョウイン,http://www.kamo-hospital.kamo.niigata.jp/,,,"",180,,,新潟県,加茂市青海町1-9-1,0256-52-0701,,,,,,,,,,,院長,秋山　修宏,アキヤマ,新潟大学（昭和５８）　消化器内科,,,,,,,,,,,,,,,,事務部長,,,,看護部長,佐々木 美奈子,,,,"",,"",病院病棟新築・移転,"2024/3/1　県央基幹病院に統合",
出塚,,精神病院,,都道府県立,,北海道立緑ヶ丘病院,,https://midorigaoka.hospital.pref.hokkaido.lg.jp/about/,,,"",168,,080-0334,北海道,河東郡音更町緑が丘1番地,0155-42-3377,,,,,,,,,,,院長　　,東端憲仁,,,,,,,,,,,,,,,,,,事務長,中島　康敬,,,総看護師長,髙橋　千秋,,,,"",,"",,"",
中島,,,,都道府県立,鹿児島県立,鹿児島県立薩南病院,,https://hospital.pref.kagoshima.jp/satsunan/,1952-07-01,,"内科,循環器科,消化器科,人工透析内科,外科・消化器外科,放射線科,産婦人科,麻酔科",160,"一般146床,感染症4床,結核10床",897-0001,鹿児島県,南さつま市加世田村原四丁目11番,0993-53-5300,,0993-53-6764,,,,,,,,,院長,三枝伸二,ミツエ　シンジ,,,,,,,,,,,,,総務課総務係長,内宮浩二,,,,,,,看護部長,牧枝　さとみ→摺木 智恵美20260401,　　　　　　　するき,,,"",,"",,"",
中島,,精神病院,,都道府県立,,香川県立丸亀病院,,https://www.pref.kagawa.lg.jp/marugamebyoin/marugamebyoin/index.html,1923-12-01,大正12年12月　株式会社丸亀中央病院開設,"精神科・内科・歯科・思春期心療内科・心療内科・リハビリテーション科",156,許可病床　215床（精神215床）→稼働病床　156床（精神156床）,763-8518,香川県,丸亀市土器町東９丁目２９１,0877-22-2131,,0877-22-7804,,,,,,,,,院長,伊藤嘉信,,平成6年 徳島大学医学部卒業 同年 徳島大学精神科入局,,,,,,,,,,,,,,,,事務局長,近藤	高弘,,,看護部長,和田睦代,,,,"",,"",,"",
渡辺,内部留保が多い（2016年度）,急性期 その他専門病院,,都道府県立,,千葉県総合救急災害医療センター,チバケンキュウキュウイリョウセンター,https://www.pref.chiba.lg.jp/cepmc/index.html,1980-04-05,,"",150,一般病床：100床、精神科病床：50床,261-0024,千葉県,千葉県千葉市美浜区豊砂6-1,043-239-3333,,,,,,,,,,,病院長,石橋　巌,イシバシ　イワオ,千葉大学（昭和55）循環器内科,,,,,,,,,,,,,,,,,,,,看護部長,金敷 美和（かなしき）,,,,"",,"",,"令和5年11月1日より、千葉県救急医療センターは、千葉県精神科医療センターと統合して「千葉県総合救急災害医療センター」になりました。",
出塚 片桐,,,,都道府県立,,群馬県立小児医療センター,グンマケンリツショウニイリョウセンター,http://www.cmc.pref.gunma.jp/,1982-04-01,,"",150,,377-8577,群馬県,渋川市北橘町下箱田７７９番地,0279-52-3551,,,,,,,,,,,院長,丸山→　外松→　浜島　昭人,ハマジマ　アキト,名古屋市立大学（昭和61年）小児形成外科,,,,,,,,,,,,,,,,事務局長,大野 貴英,,,看護部長,福田 円,,,,"",,"",,"2018年4月　外松先生院長就任",
中島,,精神病院,,都道府県立,地方独立行政法人　長野県立病院機構,長野県立こころの医療センター駒ヶ根,,https://kokokoma-hosp.or.jp/,1956-07-16,,"",129,児童精神科（A1）病棟 15床 急性期治療（A2）病棟 34床 救急・急性期（B1）病棟 41床 総合治療（B2）病棟 33床 医療観察法（BF）ユニット 6床,399-4101,長野県,駒ヶ根市下平2901,0265-83-3181,,0265-83-4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"",
Well-being,,,,都道府県立,,愛媛県立南宇和病院,,,,,"",120,,798-4131,愛媛県,南宇和郡愛南町城辺甲２４３３?１,0895-72-1231,,0895-72-5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,事務局長,池内　→　不明,,,看護部長,近藤 恵子→川田 仁美,,,,"",,"",,"",
出塚 中島,,,,都道府県立,,茨城県立こども病院,イバラキケンリツコドモビョウイン,https://www.ibaraki-kodomo.com/ich/,1985-04-01,,"",115,,311-4145,茨城県,水戸市双葉台3丁目3番地の1,029-254-1151,,029-254-2382,,,,,病院長,新井　順一,,,病院長,須磨﨑　亮→新井　順一,,,,,,,,,,,,,,,,,,,,,,看護局長　,高麗　美智子（こうらい）→平賀　紀子,,,,"",,"",,"運営は茨城県済生会

2018年1月　須磨﨑先生　病院長就任",
出塚 中島,,精神病院 リハビリ,,都道府県立,,兵庫県立リハビリテーション西播磨病院,,https://www.hwc.or.jp/nishiharima/hospital/,,,"",100,,679-5165,兵庫県,たつの市新宮町光都1丁目7番1号,0791-58-1050,,079-158-1072,,,,,,,,,院長　　,加藤順一,,,,,,,,,,,,,,,,,,,,,,看護部長,柏木 史江→前田　光子,,,,"",,"",,"",
渡辺,,その他専門病院,,都道府県立,,新潟県立リウマチセンター,ニイガタケンリツリウマチセンター,https://www.ra-center.com/index.html,1981-04-01,,"",100,リウマチ病棟52、回復リハ48,957-0054,新潟県,新発田市本町1丁目2番8号,0254-23-7751,,0254-23-7762,,,,,,,,,院長,石川　肇,イシカワ　ハジメ,山形大学（昭和57）整形外科,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"国内唯一の公立リウマチ専門病院",
出塚,内部留保が多い（2016年度）,急性期 その他専門病院,,都道府県立,,滋賀県立小児保健医療センター（R7：滋賀県立総合病院と統合）,シガケンリツショウニホケンイリョウセンター,http://www.pref.shiga.lg.jp/mccs/index.html,,,"",100,,524-0022,滋賀県,守山市守山5丁目7-30,077-582-6200,,,,,,,病院長,二見 徹,,,病院長,二見 徹,フタミ　トオル,京都大学　整形外科（小児整形外科）,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"滋賀県立小児保健医療センターは令和７年１月１日に滋賀県立総合病院と統合し、あらたな「滋賀県立総合病院」としてスタートします。",
渡辺,,急性期 その他専門病院,,都道府県立,,兵庫県立粒子線医療センター,ヒョウゴケンリツリュウシセンイリョウセンター,http://www.hibmc.shingu.hyogo.jp/,2001-04-01,,"",50,,679-5165,兵庫県,たつの市新宮町光都1丁目2-1,0791-58-0100,,,,,,,,,,,院長,沖本　智昭,オキモト　トモアキ,長崎大学（平成2）　放射線学,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"",
,,,,都道府県立,,鹿児島県立北薩病院,,https://hospital.pref.kagoshima.jp/hokusatsu/,,,"",50,一般39床，ケア９床，感染症２床,895-2526,鹿児島県,伊佐市大口宮人502-4,0995-22-8511,,0995-22-6783,hok-hos@pref.kagoshima.lg.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,事務長,今村一美→寺岡　稔,,,,,,,,"",,"",,"",
出塚 中島,,,,都道府県立,,静岡県立こども病院,,http://www.shizuoka-pho.jp/kodomo/,1977-04-01,,"",,,420-8660,静岡県,静岡市葵区漆山８６０,054-247-6251,,054-247-6259,,,,,院長 ,坂本 喜三郎,,,院長 ,坂本 喜三郎,,,,,秘書,佐野,,,,,,,,,,,,,,,,副院長兼看護部長,内藤美樹→鈴木千里,,,,"",,"",,"",
渡辺,,,,都道府県立,東京都福祉保健局,医療政策部医療政策課　がん対策担当　,,http://www.fukushihoken.metro.tokyo.jp/joho/soshiki/isei/isei/,,,"",,,163-8001,東京都,新宿区西新宿２丁目８－１　都庁第一本庁舎28階南側,03-5320-4389,,,,,,,,,,,課長,千葉　清隆,チバ　キヨタカ,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",,"「東京都がん対策推進計画」",
渡辺,再編勧告の424病院 内部留保が多い（2016年度）,ハートセンター 急性期 その他専門病院,,都道府県立,,兵庫県立姫路循環器病センター（閉院）,ヒョウゴケンリツヒメジジュンカンキビョウ,,1981-06-01,,"",,,,兵庫県,,079-293-3131,,079-295-8199,,,,,院長,向原 伸彦,,,院長,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"",TAVI,"2022年上期　製鉄記念広畑病院と統合し、県立はりま姫路総合医療センター（仮）オープン予定
",
